Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
Denmark,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453,0.36171,2.7397899999999997,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Indonesia,74,5.399,0.8282700000000001,1.0870799999999998,0.63793,0.46611,0.0,0.51535,1.86426,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Thailand,32,6.423999786376951,1.12786877155304,1.4257924556732198,0.647239029407501,0.580200731754303,0.0316127352416515,0.572123110294342,2.0391629524528927,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Ireland,16,7.021,1.499,1.5530000000000002,0.999,0.516,0.31,0.298,1.8459999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Egypt,120,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,1.9693,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Switzerland,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.343,0.263,2.2720000000000007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
United States,14,6.993000030517581,1.54625928401947,1.4199205636978105,0.7742866277694699,0.505740523338318,0.135638788342476,0.392578780651093,2.2185754626989445,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bhutan,97,5.082,0.7959999999999999,1.335,0.527,0.541,0.171,0.364,1.3480000000000003,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Uganda,136,4.189,0.332,1.069,0.443,0.35600000000000004,0.06,0.252,1.6770000000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Costa Rica,12,7.0789999961853,1.10970628261566,1.4164036512374898,0.7595092654228209,0.580131649971008,0.100106589496136,0.21461322903633104,2.8985293284058544,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Yemen,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083,1.106,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Congo (Kinshasa),127,4.418,0.094,1.125,0.35700000000000004,0.269,0.053,0.212,2.3080000000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kosovo,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.7662199999999992,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Italy,50,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.3486899999999995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Luxembourg,17,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.321,0.196,1.7690000000000008,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Finland,5,7.468999862670901,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.38261154294014,0.24548277258873,2.429978370666504,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Colombia,33,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2.8575700000000004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Morocco,92,5.013,0.7347899999999999,0.64095,0.60954,0.4169100000000001,0.08546000000000001,0.07172,2.45363,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Sudan,137,4.1389999999999985,0.605,1.24,0.312,0.016,0.08199999999999999,0.134,1.7499999999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
North Cyprus,62,5.771,1.31141,0.81826,0.8414200000000001,0.43596,0.16577999999999998,0.26322,1.93495,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Montenegro,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142,1.821,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Italy,48,5.96400022506714,1.39506661891937,1.44492328166962,0.8531443476676941,0.256450712680817,0.0280280914157629,0.17278964817523998,1.8135975245386355,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Central African Republic,148,3.678,0.0785,0.0,0.06699,0.48879,0.08288999999999999,0.23835,2.72248,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Tajikistan,74,5.4670000000000005,0.493,1.098,0.718,0.389,0.14400000000000002,0.23,2.395000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mongolia,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235,1.5490000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Lesotho,139,3.80800008773804,0.521021246910095,1.19009518623352,0.0,0.390661299228668,0.119094640016556,0.157497271895409,1.4296304434537923,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
New Zealand,9,7.286,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.264170000000001,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Norway,1,7.537000179290769,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.31596383452415505,0.36201223731041,2.2769482731819144,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Singapore,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.453,0.271,0.8059999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bangladesh,109,4.694,0.39753,0.4310600000000001,0.60164,0.4082,0.12569,0.21222,2.51766,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Venezuela,108,4.707,0.96,1.4269999999999998,0.805,0.154,0.047,0.064,1.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Rwanda,151,3.408,0.332,0.8959999999999999,0.4,0.636,0.444,0.2,0.4999999999999996,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Singapore,24,6.797999999999999,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.8852200000000003,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Tanzania,153,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.0660351067781448,0.354256361722946,0.62105576694012,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Cambodia,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,1.4640000000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Greece,82,5.287000000000001,1.181,1.156,0.999,0.067,0.034,0.0,1.850000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Malaysia,42,6.08400011062622,1.29121541976929,1.28464603424072,0.618784427642822,0.4022649824619289,0.0656007081270218,0.416608929634094,2.0048796087503438,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Angola,140,3.79500007629395,0.8584281802177429,1.10441195964813,0.0498686656355858,0.0,0.0697203353047371,0.09792649000883097,1.6146444454789233,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Iceland,4,7.495,1.3430000000000002,1.644,0.914,0.677,0.138,0.353,2.426,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
